0x0F382C8C91E58C8B24DF;Pistol;Plasma; ;2.1;134;53.9; ;33;1.8;51.2;2760.8;8.121;2438;32.501;320.00;9.60;20004.60 PED;1.0;3823;17.88;2.865;0;0;0;0;0;121;0;13;0;Yes;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);40; ;Ranged Plasma (Dmg);40; ;Looted;11.4.5;Planet Calypso
0x0F382C8C91E58C82AA7 (L);Pistol;Plasma; ;2.1;75;66.0;0;24;2.5;20.9;1376.1;4.551;1364;18.191;94.00; ;117.34%;1.0;2066;7.28;2.865;0;0;0;0;0;67;0;8;0;Yes;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);11; ;Ranged Plasma (Dmg);11; ;Crafted;;Planet Calypso
0x0F382C8C91E58C8273C0 (L);Pistol;Plasma; ;2.2;97;48.4;0;26;2.3;29.2;1413.9;5.111;1764;22.751;122.00;3.66;109.18%;1.0;2316;9.86;2.963;0;0;0;0;0;87;0;10;0;Yes;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);17; ;Ranged Plasma (Dmg);17; ;Crafted;11.4.3;Planet Calypso
0x0F382C8C91E58C8460 (L);Pistol;Plasma; ;2.3;40;55.0; ;23;2.6;10.7;586.1;2.421;728;9.701;47.00; ;109.33%;1.0;1942;3.72;2.866;0;0;0;0;0;36;0;4;0;Yes;Energy Amp;; ; ; ;Plasma Pistoleer (Hit);5; ;Ranged Plasma (Dmg);5; ;Looted;11.4.3;Planet Calypso
A-3 Justifier Mk.I;Carbine;Laser; ;3.7;36;71.5;0;40;1.5;16.7;1192.6;0.890;800;8.890;78.00;2.34;8.84 PED;1.0;8502;5.93;2.814;0;0;0;3;0;33;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso
A-3 Justifier Mk.I Ancient;Carbine;Laser; ;3.7;36;99.0;0;40;1.5;16.7;1651.3;0.890;800;8.890;78.00;2.34;900.74 PED;1.0;8502;5.93;2.814;0;0;0;3;0;33;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso
A-3 Justifier Mk.II;Carbine;Laser; ;3.8;43;71.5;0;40;1.5;19.9;1424.5;0.460;1000;10.460;85.00;2.55;35.11 PED;1.0;17924;6.97;2.857;0;0;0;4;0;39;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso
A-3 Justifier Mk.II, SGA Edition;Carbine;Laser; ;3.8;45;71.5;0;41;1.5;21.4;1528.0;0.947;1000;10.947;85.00;2.55;218.34 PED;1.0;8707;7.48;2.857;0;0;0;0;0;0;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso
A-3 Justifier Mk.II, SGA Edition Improved;Carbine;Laser; ;3.9;73;106.7;0;60;1.0;50.7;5413.4;0.879;1500;15.879;1000.00; ;90000.00 PED;1.0;113766;15.88;3.195;0;0;0;6;0;67;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;10.5.1;Planet Calypso
A-3 Justifier Mk.II Ancient;Carbine;Laser; ;3.8;43;110.0;0;40;1.5;19.9;2191.6;0.460;1000;10.460;85.00;2.55;2284.48 PED;1.0;17924;6.97;2.857;0;0;0;4;0;39;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso
